MOLD,DISC TYPE,SPEED,GLIDE,TURN,FADE,STABILITY,DIAMETER (cm),HEIGHT (cm),RIM DEPTH (cm),RIM WIDTH (cm),INSIDE RIM DIAMETER (cm),RIM DEPTH / DIAMETER RATION (%),RIM CONFIGURATION,BEAD
"Armadillo
",Putt & Approach,1,2,0,1,1,21.3,1.9,1.4,0.8,19.6,6.6,90.75,No
"Beetle
",Putt & Approach,1,7,-1,0,-1,21.9,2.2,1.6,0.8,20.3,7.3,89.25,No
"Berg
",Putt & Approach,1,1,0,2,2,21.1,2,1.4,0.9,19.3,6.6,87,No
"Birdie
",Putt & Approach,1,2,0,0,0,21.2,2.4,1.9,0.7,19.8,9,98.25,No
"Claws
",Putt & Approach,1,3,0,0.5,0.5,21.2,2,1.7,0.9,19.4,8,85,No
"Glitch
",Putt & Approach,1,7,0,0,0,21.2,2,1.6,0.8,19.5,7.5,66.5,No
"Hydrogen
",Putt & Approach,1,2,0,0,0,21.2,2.1,1.5,0.7,19.7,7.1,72.25,No
"No2 Putter
",Putt & Approach,1,2,-2,1,-1,21.8,2.6,1.6,1,19.8,7.3,53.75,No
"Polecat
",Putt & Approach,1,3,0,0,0,21.3,2.3,1.6,0.7,19.9,7.5,83.25,No
"Sonic
",Putt & Approach,1,2,-4,0,-4,21.6,2.3,1.6,0.6,20.4,7.4,82,No
"Super Dillo
",Putt & Approach,1,4,-3,1,-2,23.6,2,1.2,0.8,22,5.1,88,No
"Upshot
",Putt & Approach,1,3,-2,0,-2,21.6,2.2,1.4,0.7,20.2,6.5,63.75,No
"Ace
",Putt & Approach,2,3,-2,1,-1,21.2,2.2,1.1,0.9,19.4,5.2,50.5,No
"Agent
",Putt & Approach,2,3,0,1,1,21.2,2.1,1.4,1.1,19,6.6,60.75,No
"Animal
",Putt & Approach,2,1,0,1,1,21.2,2.1,1.3,1,19.2,6.1,64,No
"APX
",Putt & Approach,2,2,-1,1,0,21,2.3,1.4,0.9,19.2,6.7,49.25,Yes
"Aviar
",Putt & Approach,2,3,0,1,1,21.2,2,1.5,0.9,19.4,7.1,55.75,No
"Aviar Driver
",Putt & Approach,2,3,0,2,2,21.2,2,1.5,0.9,19.4,7.1,55.75,Yes
"Bagger
",Putt & Approach,2,3,0,1,1,21.3,1.8,1.5,1.1,19.2,7.5,59.75,Yes
"Banger GT
",Putt & Approach,2,3,0,1,1,21.2,2,1.6,1,19.2,7.5,65.75,Yes
"Beaver
",Putt & Approach,2,3,-1,1,0,21.2,2.2,1.6,0.9,19.3,7.5,50.5,Yes
"Bighorn
",Putt & Approach,2,3,0,1,1,21.2,2.2,1.6,1.5,19.2,7.5,67.75,Yes
"Bleak
",Putt & Approach,2,4,-1,1,0,21,2.2,1.4,1.1,18.9,6.7,52,No
"Blowfly I
",Putt & Approach,2,2,0,2,2,21.5,2.7,1.1,1.5,18.5,5.1,52.5,No
"Bluebonnet
",Putt & Approach,2,3,0,1,1,21.1,2.1,1.3,1.1,18.9,6.2,65.5,No
"Blunt Gumbputt
",Putt & Approach,2,2,0,2,2,21.7,2.2,1.9,0.7,20.2,8.8,86.75,No
"Bullet
",Putt & Approach,2,4,0,1,1,21.2,1.8,1.5,1.1,18.9,7.1,58.75,No
"Butter
",Putt & Approach,2,3,0,1,1,21.5,2.1,1.5,1.2,19.1,7,67.25,No
"Caltrop
",Putt & Approach,2,2,0,2,2,21,1.9,1.5,1,19.1,7.1,64,No
"Chainzilla
",Putt & Approach,2,3,-1,1,0,21.2,2.2,1.7,1,19.2,8,56,Yes
"Challenger
",Putt & Approach,2,3,0,2,2,21,2.2,1.6,1,19,7.6,61.5,Yes
"Challenger OS
",Putt & Approach,2,3,0,3,3,21.1,2,1.5,1,18.9,7.1,61,Yes
"Challenger SS
",Putt & Approach,2,3,-1,2,1,21.1,2,1.4,1,19.1,6.6,61,No
"Classic Aviar
",Putt & Approach,2,3,0,0,0,21.2,2,1.5,0.9,19.4,7.1,55.75,No
"Clozer
",Putt & Approach,2,3,0,2,2,21.2,2.1,1.4,0.9,19.4,6.6,58.25,Yes
"Clutch
",Putt & Approach,2,3,0,1,1,21.2,2,1.4,0.9,19.4,6.6,49.5,No
"Coupe
",Putt & Approach,2,3,-1,1,0,21.2,2,1.3,0.9,19.4,6.1,50,Yes
"Cumulus
",Putt & Approach,2,3,-1,1,0,21.1,1.7,1.4,1.1,18.9,6.6,55.5,No
"Dagger
",Putt & Approach,2,5,0,1,1,21.1,2.1,1.5,1,19.1,7.1,75.25,Yes
"EMac Judge
",Putt & Approach,2,4,0,1,1,21.2,2,1.4,1.1,18.9,6.6,60.75,Yes
"Faith
",Putt & Approach,2,3,0,1,1,21.2,2.2,1.5,1.1,19,7.1,59.5,No
"Firefly
",Putt & Approach,2,3,0,1,1,21.1,2.1,1.5,1,19.1,7.1,71,No
"Flow Motion
",Putt & Approach,2,3,0,2,2,21.1,1.9,1.5,1,19,7.1,66.5,No
"Focus
",Putt & Approach,2,2,-1,2,1,21.1,2.1,1.6,1,19.1,7.6,60.25,No
"Fudge
",Putt & Approach,2,3,0,2,2,21.3,2,1.5,1.1,19.2,7,63,Yes
"Gauntlet
",Putt & Approach,2,4,0,1,1,21.2,2.1,1.5,1.1,19,7.1,61.75,Yes
"Great Horned Owl
",Putt & Approach,2,3,0,1,1,21.2,2.2,1.4,1,19.2,6.6,62.25,Yes
"Guard
",Putt & Approach,2,5,0,0.5,0.5,21,2.1,1.6,0.9,19.1,7.6,90,No
"Gui
",Putt & Approach,2,3,0,2,2,21.1,1.8,1.5,1,19.1,7.1,59,No
"Hammer
",Putt & Approach,2,2,-1,2,1,21.7,2.1,1.1,1.2,19.3,5.1,36.75,No
"Hammer Chui
",Putt & Approach,2,2.5,0,3,3,21.1,1.7,1.4,1.3,18.5,6.6,56.25,No
"Hawg
",Putt & Approach,2,1,0,3.5,3.5,21.2,2,1.3,1.2,18.8,6.1,71.5,No
"Hope
",Putt & Approach,2,3,0,1,1,21.2,2,1.5,1.1,19,7.1,62.75,No
"Hummingbird
",Putt & Approach,2,4,0,1,1,21.2,2,1.5,0.9,19.3,7.1,52.5,No
"Hunter
",Putt & Approach,2,4,0,0,0,21.2,2,1.4,0.9,19.4,6.6,54.75,No
"Huntsman
",Putt & Approach,2,3,0,2.5,2.5,21.3,2.4,1.6,1.1,19.1,7.5,72.5,Yes
"Inner Core
",Putt & Approach,2,4,-0.5,0,-0.5,21.3,1.9,1.5,1,19.4,7,56.5,No
"Iridium
",Putt & Approach,2,3,0,2,2,21,2.1,1.5,0.9,19.1,7.1,66,No
"JK Aviar
",Putt & Approach,2,3,0,2,2,21.2,2,1.5,0.9,19.4,7.1,55.75,Yes
"Judge
",Putt & Approach,2,4,0,1,1,21.2,2,1.5,1.1,18.9,7.1,58.25,Yes
"KC Aviar
",Putt & Approach,2,3,0,2,2,21.2,2,1.5,0.9,19.4,7.1,55.75,Yes
"Keystone
",Putt & Approach,2,5,-1,1,0,21.1,1.9,1.5,1,19,7.1,75,No
"Knife
",Putt & Approach,2,3,0,2,2,21.1,1.9,1.3,1,19.1,8.5,58.75,No
"Land Mine
",Putt & Approach,2,2,0,2,2,22,1.8,1.5,1.2,19.6,6.8,92.75,No
"Ling
",Putt & Approach,2,3,-3,1,-2,21.2,1.8,1.3,1,19.2,6.1,74.5,No
"Link
",Putt & Approach,2,3,0,1,1,21.2,1.9,1.5,1,19.1,7,71,Yes
"Macana
",Putt & Approach,2,5,0,1,1,21.1,2.1,1.4,1.1,18.9,6.6,74,Yes
"Magic
",Putt & Approach,2,3,-1,0,-1,21,2.1,1.5,1,19,7.1,54,No
"Magnet
",Putt & Approach,2,3,-1,1,0,21.2,2,1.4,0.8,19.6,6.6,47.75,Yes
"Magneton
",Putt & Approach,2,3,0,2,2,21.1,1.9,1.5,1,19.1,7.1,59.25,No
"Makani
",Mid Range,2,7,-2,0,-2,24.2,2.7,1.7,0.7,22.8,7,83,No
"Marvel
",Putt & Approach,2,3,0,1,1,21.1,2,1.4,1.1,18.9,6.6,65.75,No
"Mercy
",Putt & Approach,2,4,0,1,1,21.2,2.1,1.5,1.1,19.1,7.1,61.5,No
"Meteor Hammer
",Putt & Approach,2,3,0,0,0,21.2,2,1.5,1,19.2,7.1,52.5,No
"Mjolner
",Putt & Approach,2,3,0,1,1,21.2,2,1.5,1,19.2,7.1,47.25,Yes
"Mobius
",Putt & Approach,2,4,-1,0,-1,21.1,1.9,1.4,1,19.1,6.6,77.25,No
"Myth
",Putt & Approach,2,3,0,2,2,21.2,2.1,1.5,1.1,19,7.1,68.75,Yes
"No2 Upshot
",Putt & Approach,2,4,-1,1,0,21.4,2,1.5,0.9,19.6,7,51.25,Yes
"Nomad
",Putt & Approach,2,4,0,1.5,1.5,21.2,2,1.4,1.1,19,6.6,51,Yes
"Nova
",Putt & Approach,2,3,0,0,0,21.3,2.7,1.5,1.1,19.1,7,59,No
"Ohm
",Putt & Approach,2,5,0,1,1,21.2,1.9,1.5,1,19.1,7.1,58,No
"Omega
",Putt & Approach,2,3,0,0,0,21.1,2,1.5,0.9,19.3,7.1,55.75,No
"Omega 4
",Putt & Approach,2,3,0,1,1,21.1,2,1.5,1,19,7.1,58,No
"Omega AP
",Putt & Approach,2,3,0,0,0,21.1,2,1.5,0.9,19.3,7.1,55.75,No
"Omega AP Big Bead
",Putt & Approach,2,3,0,1,1,21.1,2,1.5,0.9,19.3,7.1,55.75,Yes
"Omega Big Bead
",Putt & Approach,2,3,0,1,1,21.2,2.1,1.5,0.9,19.4,7.1,55.75,Yes
"Omega SuperSoft
",Putt & Approach,2,3,0,0,0,21.1,2,1.5,0.9,19.3,7.1,55.75,No
"P1
",Putt & Approach,2,3,0,0,0,21.2,2,1.5,1.1,19,7.1,62.5,No
"P1X
",Putt & Approach,2,3,0,0,0,21.2,2,1.4,1,19,6.6,68.5,Yes
"P2
",Putt & Approach,2,3,0,1,1,21.2,2.1,1.6,1.1,19,7.5,68.75,No
"Pace
",Putt & Approach,2,4,0,1.5,1.5,21.1,2,1.5,1.1,18.9,7.1,60.25,No
"Penrose
",Putt & Approach,2,4,0,2,2,21.1,2.1,1.5,1.1,18.9,7.1,60.25,Yes
"Pilot
",Putt & Approach,2,5,0,1,1,21.2,1.9,1.5,1,18.2,7.1,64,Yes
"Polar Bear
",Putt & Approach,2,3,0,1,1,21.2,2,1.5,1,19.3,7.1,62.5,Yes
"PowerDrive Gumbputt
",Putt & Approach,2,2,0,2,2,21.5,2.6,1.2,1.3,18.9,5.6,38,No
"Profit
",Putt & Approach,2,3,0,2,2,21.1,1.9,1.6,1.1,18.9,7.6,65.75,Yes
"Prowler
",Putt & Approach,2,2,0,2,2,21.2,2.2,1.4,0.9,19.4,6.6,61.5,Yes
"Puttr
",Putt & Approach,2,2,-1,1,0,21,2.4,1.6,0.9,19.2,7.6,78.75,No
"Radar
",Putt & Approach,2,5,0,0.5,0.5,21.1,2,1.5,1,19.1,7.1,55.5,Yes
"Rainmaker
",Putt & Approach,2,3,0,0.5,0.5,21.2,2,1.5,1.1,19,7.1,66.25,No
"Rattler
",Putt & Approach,2,2,-2,1,-1,21.2,2.2,1.6,0.6,20,7.5,84.25,No
"Reef
",Putt & Approach,2,2,-1,1,0,21.2,2.1,1.4,0.9,19.4,6.6,49.25,Yes
"Rhyno
",Putt & Approach,2,1,0,3,3,21.2,1.9,1.3,1,19.2,6.1,56.75,No
"RhynoX
",Putt & Approach,2,1,0,4,4,21.2,2,1.3,1,19.1,6.1,63.5,No
"Ridge
",Putt & Approach,2,3,0,1,1,21.1,2,1.6,0.9,19.3,7.6,61.25,Yes
"Roach
",Putt & Approach,2,4,0,1,1,21.1,2,1.5,1.1,18.9,7.1,58.75,No
"Rubber Putter
",Putt & Approach,2,3,-1,1,0,21.6,2.5,1.3,1.3,19,6,45.5,Yes
"Rune
",Putt & Approach,2,4,0,0,0,21.2,2.1,1.6,1.1,19,7.5,55.5,Yes
"Sarek
",Putt & Approach,2,4,0,1.5,1.5,21.2,2.2,1.5,1.1,19,7.1,61,No
"Scale
",Putt & Approach,2,1,0,3,3,21,2.2,1.5,1,19,7.1,68,No
"Scarab
",Putt & Approach,2,4,0,1,1,21.2,2.1,1.5,1,19.2,7.1,62.5,Yes
"Sea Otter
",Putt & Approach,2,3,0,2,2,21.2,1.8,1.5,1,19.1,7.1,57.75,No
"Serpent
",Putt & Approach,2,2,0,0,0,21,2.2,1.5,1,19.1,7.1,86.75,No
"Shogun
",Putt & Approach,2,4,0,2,2,21.2,2.4,1.5,1,19.2,7.1,74,Yes
"Sinus
",Putt & Approach,2,2,0,2,2,21.2,1.9,1.4,0.9,19.3,6.6,50.75,No
"Slim
",Putt & Approach,2,4,-3,0,-3,21.4,1.7,1.1,1.1,19.2,5.1,54.5,No
"Snoopy
",Putt & Approach,2,4,0,2,2,21.1,2.1,1.6,1.1,18.9,7.6,55,No
"Soft Magnet
",Putt & Approach,2,3,-1,2,1,21.2,2,1.4,0.8,19.6,6.6,47.75,No
"Sole
",Putt & Approach,2,3,0,2,2,21.2,2.3,1.5,1,19.2,7.1,58.75,No
"Sparta
",Putt & Approach,2,4,0,1,1,21.3,2,1.6,1,19.2,7.5,59.75,No
"Steady
",Putt & Approach,2,3,0,2,2,21.2,2,1.4,1,19.3,6.6,56,Yes
"Steady BL
",Putt & Approach,2,3,0,2,2,21.2,2.5,1.5,1.1,19,7.1,64.75,No
"Summit
",Putt & Approach,2,3,-1,0,-1,21.1,1.9,1.2,0.9,19.2,5.7,61.25,Yes
"Supreme Judge
",Putt & Approach,2,4,0,1,1,21.2,2.2,1.4,1.1,19,6.6,58.25,Yes
"Takapu
",Putt & Approach,2,3,0,2,2,21.2,2.1,1.5,1.1,18.9,7.1,66.75,No
"Tank
",Putt & Approach,2,1,0,2,2,21.2,2,1.3,0.9,19.4,6.1,59.75,No
"Tank-Panzer
",Putt & Approach,2,2,0,3,3,21.2,2.1,1.4,1.2,18.8,6.6,59.75,No
"Telos
",Putt & Approach,2,4,0,1.5,1.5,21,1.9,1.5,1,18.9,7.1,67,No
"Titanic
",Putt & Approach,2,2,0,2,2,21.1,2.2,1.5,1,19.1,7.1,63.5,Yes
"Touch
",Putt & Approach,2,3,0,1,1,21.2,2,1.4,1.2,17.8,6.6,54.75,Yes
"Voodoo
",Putt & Approach,2,3,0,0,0,21.2,2.1,1.6,1,19.2,7.5,62,No
"VP
",Putt & Approach,2,3,0,2,2,21.1,2,1.6,0.9,19.1,7.6,66.75,Yes
"War Dove
",Putt & Approach,2,3,0,1,1,21.1,2,1.6,1.1,18.9,7.6,68.25,No
"War Pigeon
",Putt & Approach,2,3,0,3,3,21.2,2,1.5,1.1,19.1,7.1,68.25,Yes
"Warden
",Putt & Approach,2,4,0,0.5,0.5,21.2,2,1.5,1.1,19.1,7.1,66.25,No
"Warlock
",Putt & Approach,2,3,0,1,1,21.1,2.3,1.6,1,19.1,7.6,56.25,No
"Warspear
",Putt & Approach,2,3,0,2.5,2.5,21.2,1.8,1.3,1,19.2,6.1,77.75,No
"Watt
",Putt & Approach,2,5,-0.5,0.5,0,21.2,1.8,1.5,1.1,19,7.1,67.5,No
"Whale
",Putt & Approach,2,3,0,1,1,21.1,2,1.5,1,19,7.1,75.25,Yes
"Wizard
",Putt & Approach,2,3,0,2,2,21.2,2.1,1.8,1,19.2,8.5,59.25,Yes
"Woodchuck
",Putt & Approach,2,2,-1,0,-1,21.2,2,1.5,0.9,19.3,7.1,64,Yes
"Xero
",Putt & Approach,2,3,0,0,0,21.2,2,1.5,1,19.2,7.1,68.75,Yes
"Xing
",Putt & Approach,2,4,0,1,1,21.3,2.1,1.7,1,19.3,8,71,Yes
"Yeti Aviar
",Putt & Approach,2,3,0,1,1,21.2,2,1.5,0.9,19.4,7.1,55.75,Yes
"Zephyr
",Putt & Approach,2,3,0,0,0,24.1,2.7,1.7,0.7,22.7,7.1,83,No
"Zingback
",Putt & Approach,2,3,0,0,0,22.3,2.8,1.7,0.7,20.9,7.6,76,No
"Anode
",Putt & Approach,2.5,3,0,0.5,0.5,21,2.1,1.4,1.1,18.9,6.7,54,No
"Ion
",Putt & Approach,2.5,3,0,1.5,1.5,21,1.9,1.6,1.1,18.8,7.6,62.5,Yes
"Spin
",Putt & Approach,2.5,4,-2,0,-2,21,1.9,1.5,1.1,18.8,7.1,60.75,No
"Zeppelin
",Putt & Approach,2.5,6,-1,0,-1,22.1,2,1.5,0.9,20.3,6.8,62,No
"A1
",Putt & Approach,3,3,0,3,3,21,2,1.3,1.4,18.2,6.2,41.75,Yes
"A5
",Putt & Approach,3,4,-1,1,0,21.3,1.9,1.4,1.2,19,6.6,54.75,No
"Aero
",Putt & Approach,3,6,0,0,0,21.7,2.5,1.3,1,19.6,6,43.75,No
"Alpaca
",Putt & Approach,3,3,0,1,1,21.1,2,1.5,1,19,7.1,63.75,No
"Alter
",Putt & Approach,3,3,0,1,1,21.2,2,1.5,1.1,19,7.1,61.5,Yes
"Atom
",Putt & Approach,3,3,0,1,1,21.1,1.9,1.4,1.1,18.8,6.6,60.75,No
"Aviar3
",Putt & Approach,3,2,0,2,2,21.2,1.9,1.5,1,19.2,7.1,55.75,No
"AviarX3
",Putt & Approach,3,2,0,3,3,21.3,1.8,1.6,1,19.3,7.5,55.75,No
"Bennu
",Putt & Approach,3,5,-1,0,-1,21,2.2,1.5,1.1,18.9,7.1,60.5,No
"Benny
",Putt & Approach,3,4,0,2,2,21.1,1.9,1.5,1.1,18.9,7.1,58.5,Yes
"Blowfly II
",Putt & Approach,3,2,0,2,2,21.7,2.3,1.7,1.4,18.9,7.8,46.6,No
"Breaker
",Putt & Approach,3,3,0,3,3,21,1.7,1.2,1,19,5.7,62,No
"Bull Snake
",Putt & Approach,3,2,0,4,4,21.1,2,1.3,1.3,18.5,6.2,61.25,Yes
"Bullfrog
",Putt & Approach,3,1,0,1,1,21.1,1.8,1.3,1,19,6.2,67.75,No
"Chainsaw
",Putt & Approach,3,5,0,1,1,21,2.2,1.5,1,19.1,7.1,66.5,No
"Chief
",Putt & Approach,3,3,0,1,1,21.1,1.7,1.3,1,19.2,6.2,60.5,Yes
"Chief OS
",Putt & Approach,3,3,0,2,2,21.2,2.1,1.3,1,19.2,6.1,55.75,Yes
"Classic Roc
",Putt & Approach,3,3,0,2,2,21.2,2,1.2,0.9,19.4,5.7,42.75,Yes
"Colt
",Putt & Approach,3,4,-1,1,0,21.2,1.8,1.3,1.1,19,6.1,59.75,Yes
"Condor
",Mid Range,3,4,0,2,2,24.1,2.2,1.6,1.3,21.5,6.6,49.25,No
"Copperhead
",Putt & Approach,3,4,0,2,2,21.6,1.8,1.3,1,19.6,6,55.5,Yes
"Crater
",Putt & Approach,3,2,0,3,3,21.1,1.8,1.3,1.1,19,6.2,79.25,No
"Credo
",Putt & Approach,3,2,0,3,3,21.7,2,1.6,1.2,19.3,7.4,49.75,No
"Crown
",Putt & Approach,3,4,0,1,1,21.2,2,1.4,1,19.2,6.6,54,Yes
"Dart
",Putt & Approach,3,4,0,0,0,21.2,2.2,1.4,1.2,18.8,6.6,38,No
"Deputy
",Putt & Approach,3,4,-1.5,0,-1.5,21.2,2,1.5,1.1,19.1,7.1,61,No
"Devil Hawk
",Putt & Approach,3,3,0,4,4,21.2,2.1,1.3,1,19.2,6.1,70.25,Yes
"Eldritch
",Putt & Approach,3,3,0,1,1,21.2,2,1.5,1.1,18.9,7.1,55.75,No
"Envy
",Putt & Approach,3,3,0,2,2,21,1.8,1.4,1.1,18.8,6.7,52,No
"Fierce
",Putt & Approach,3,4,-2,0,-2,21.1,1.9,1.5,1,19,7.1,63.5,No
"Fragment
",Putt & Approach,3,4,0,1,1,21.2,1.8,1.5,1.1,19,7.1,68,No
"Gavel
",Putt & Approach,3,5,-2,0.5,-1.5,21.3,1.9,1.4,1.4,19.5,6.6,45.75,No
"Genesis
",Putt & Approach,3,3,-1.5,1,-0.5,21.1,2,1.5,1,19.1,7.1,59.5,No
"Habit
",Putt & Approach,3,5,-1,0,-1,22.1,2.1,1.6,1,20.1,7.2,63.25,No
"Hydra
",Putt & Approach,3,3,0,2,2,21.1,2,1.4,1.4,18.3,6.6,44.75,No
"Invader
",Putt & Approach,3,2,0,1,1,21.2,1.9,1.5,1,19.1,7.1,67.75,Yes
"Jack Rabbit
",Putt & Approach,3,3,0,3,3,21.1,2,1.5,1.2,18.7,7.1,57.25,No
"Jokeri
",Putt & Approach,3,3,1,2,3,21.3,1.8,1.5,1.1,19,7,54,No
"Kang
",Mid Range,3,5,-2,0,-2,21.5,1.8,1.4,1,19.6,6.5,59.5,Yes
"Koi
",Putt & Approach,3,4,-1,0,-1,21.1,1.8,1.4,1.1,18.8,6.6,62.25,No
"Lander
",Putt & Approach,3,4,-0.5,2,1.5,21,1.8,1.4,1.2,18.6,6.7,49.25,Yes
"Lockdown
",Putt & Approach,3,3,0,2,2,21.2,1.7,1.4,1,19.1,6.6,55.25,No
"Logic
",Putt & Approach,3,3,0,1,1,21.2,1.9,1.3,1.1,19,6.1,55,No
"Luna
",Putt & Approach,3,3,0,3,3,21.1,2,1.4,1.1,18.9,6.6,68.5,No
"Mad Mission
",Mid Range,3,3,0,2,2,21.2,1.8,1.4,1,19.2,6.6,70.5,Yes
"Madrone
",Putt & Approach,3,3,0,1,1,21,2.2,1.7,1,19,8.1,83.5,Yes
"Maiden
",Putt & Approach,3,4,0,1,1,21.2,1.8,1.3,1,19.2,6.1,57.75,Yes
"Manzanita
",Putt & Approach,3,3,0,2,2,21,2.1,1.6,1.1,18.7,7.6,67,No
"Marshal
",Putt & Approach,3,4,0,1,1,21.2,2,1.6,1.1,19.1,7.5,67,No
"Mirage
",Putt & Approach,3,4,-3,0,-3,21.2,1.9,1.2,1.1,19,5.7,50.25,Yes
"Muse
",Putt & Approach,3,3,0,2,2,21.2,2,1.6,1.2,18.8,7.5,61.5,No
"Narwhal
",Putt & Approach,3,5,0,0,0,21,2.3,1.2,1.2,18.5,5.7,53.25,No
"Nuno
",Putt & Approach,3,4,-1,1,0,21.1,2.3,1.5,1.2,18.8,7.1,55.5,No
"Omega Driver
",Putt & Approach,3,2,0,2,2,21.1,2,1.5,0.9,18.1,7.1,55.75,No
"Origo
",Putt & Approach,3,3,0,1,1,21.2,1.9,1.5,1.1,19.1,7.1,56.75,No
"P Model S
",Putt & Approach,3,5,0,2,2,21.2,2,1.5,1,19.2,7.1,56.25,Yes
"P Model US
",Putt & Approach,3,5,-1,1,0,21.3,2,1.5,1.1,19.1,7,63.75,No
"P Model US+
",Putt & Approach,3,5,-1,1,0,21.3,2,1.4,1.1,19.1,6.6,79.75,No
"P3
",Putt & Approach,3,2,0,3,3,21.2,2,1.2,1,19.2,5.7,59,No
"P3x
",Putt & Approach,3,2,0,3,3,21.2,1.9,1.6,1.1,19,7.5,62,Yes
"PA-1
",Putt & Approach,3,3,0,2,2,21,1.9,1.4,1,19,6.7,57.5,No
"PA-2
",Putt & Approach,3,3,0,1,1,21.1,1.9,1.4,1,19.1,6.6,47.5,No
"PA-3
",Putt & Approach,3,4,0,1,1,21,2,1.4,1,18.9,6.7,66,Yes
"PA-4
",Putt & Approach,3,3,-1,1,0,21,1.9,1.4,1,19,6.7,69.25,No
"PA-5
",Putt & Approach,3,4,-2,0.5,-1.5,21.4,1.9,1.4,0.9,19.5,6.5,58.25,No
"Particle
",Putt & Approach,3,3,0,2.5,2.5,21.1,2,1.4,1.1,18.8,6.6,61.25,No
"Peace Frog
",Putt & Approach,3,3,0,1,1,21,2.2,1.6,1,19.1,7.6,63.75,No
"Penny Putter
",Putt & Approach,3,3,0,2,2,21,1.9,1.5,1.1,18.8,7.1,61.5,No
"Phi
",Putt & Approach,3,4,0,1,1,21,2,1.5,1.1,18.9,7.1,71.5,No
"Pig
",Putt & Approach,3,1,0,3,3,21.2,2.1,1.4,1.4,18.4,6.6,57.5,No
"Plutonium
",Putt & Approach,3,3,0,1,1,21,2,1.5,1,19,7.1,77.75,No
"Ponderosa
",Putt & Approach,3,4,-2,0,-2,21.1,2.1,1.5,1,19,7.1,69.75,No
"Popcorn
",Putt & Approach,3,3,0,1,1,21.4,1.9,1.6,1.1,19.2,7.5,69.5,No
"Praxis
",Putt & Approach,3,3,0,1,1,21.2,1.8,1.4,1.2,18.8,6.6,60,No
"Proxy
",Putt & Approach,3,3,-1,0.5,-0.5,21,1.8,1.5,1.1,18.8,7.1,63.5,No
"Pure
",Putt & Approach,3,3,-1,1,0,21.2,1.8,1.4,1,19.2,6.6,48.25,No
"PX-3
",Putt & Approach,3,4,0,2.5,2.5,21,1.9,1.4,1,19,6.7,52,Yes
"Raze
",Putt & Approach,3,2,0,3,3,21.2,1.9,1.5,1.1,19,7.1,66.25,No
"Reko
",Putt & Approach,3,3,0,1,1,21.2,1.8,1.4,1,19.1,6.6,61.25,Yes
"Reko X
",Putt & Approach,3,3,0,2,2,21.4,1.9,1.4,1.1,19.2,6.5,49.5,Yes
"Ruby
",Putt & Approach,3,5,-3,1,-2,21.5,1.9,1.4,1,19.5,6.5,69,No
"Ruin
",Putt & Approach,3,3,0,3,3,21.8,1.8,1.4,1.3,19.1,6.4,49.25,No
"Ruru
",Putt & Approach,3,3,0,1,1,21,2.3,1.6,1,18.9,7.6,72.75,Yes
"Sensei
",Putt & Approach,3,3,0,1,1,21.3,2.3,1.4,1,19.2,6.6,71,No
"Shadowplay
",Putt & Approach,3,3,-2,0.5,-1.5,21.1,2,1.4,1.1,18.9,6.6,53,No
"Shaman
",Putt & Approach,3,3,-1,1,0,21.2,1.8,1.3,1,19.2,6.1,65.75,No
"Shield
",Putt & Approach,3,3,0,1,1,21.1,2.5,1.4,1,19,6.6,67,Yes
"ShoreBreak
",Putt & Approach,3,3,0,3,3,21.2,2,1.6,1.1,19,7.5,67.5,No
"Slammer
",Putt & Approach,3,2,0,3,3,21.2,1.8,1.4,1,19.2,6.6,53.5,No
"Sockibomb Slammer
",Putt & Approach,3,2,0,3,3,21.1,1.9,1.5,1.2,18.8,7.1,59,No
"Sparrow
",Putt & Approach,3,3,0,2,2,21.3,1.9,1.6,1.1,19.1,7.4,69.75,Yes
"Splinter
",Putt & Approach,3,2,0,3.5,3.5,21.3,2.4,1.5,1,19.2,7,71.25,No
"Stabilizer
",Putt & Approach,3,3.5,0,3,3,21.2,1.8,1.4,1.1,18.8,6.6,56.25,No
"Stego
",Mid Range,3,1,1,4,5,21.3,1.8,1.2,1,19.3,5.6,74,Yes
"Stud
",Putt & Approach,3,3,0,2,2,21.2,1.9,1.3,1.1,18.9,6.1,69.5,Yes
"Swan
",Putt & Approach,3,3,-1,0,-1,21.1,1.9,1.4,1.1,19,6.6,55.75,No
"Swan 1 Reborn
",Putt & Approach,3,3,-2.5,0,-2.5,21.1,1.9,1.3,1.1,18.9,6.2,52.5,No
"TeMoko
",Mid Range,3,4,0,0,0,23.7,2.9,2.3,0.7,22.3,9.7,74.5,No
"Tomb
",Putt & Approach,3,4,0,1,1,21.3,1.6,1.3,1.1,19.1,6.1,65.5,Yes
"Tui
",Putt & Approach,3,4,-1,0,-1,21.1,1.8,1.4,0.9,19.3,6.6,44.25,No
"Vaccine
",Mid Range,3,3,0,2,2,21.2,1.8,1.2,1,19.2,5.7,56.75,No
"War Hammer
",Putt & Approach,3,4,0,2,2,21.2,2,1.5,1,19.3,7.1,51.5,No
"Warhog
",Putt & Approach,3,3,0,1,1,21.2,2.2,1.4,1.4,18.4,6.6,55.75,No
"Wings
",Mid Range,3,3,0,2,2,21.2,1.8,1.2,1,19.2,5.7,56.75,Yes
"XD
",Putt & Approach,3,4,-1,1,0,21.2,2,1.2,0.9,19.4,5.7,42.75,No
